Area_Name,D_Area,Latitude,Longitude,proximity_yamuna,prox_Sohna,prox_Mathura,prox_Moradabad
Adarsh Nagar,North West,28.72,77.17,15.5,16.72771767,13.3433912,3.675012494
Ashok Vihar,North West,28.6954,77.1848,10.6,18.02511117,10.607996,1.482585049
Bawana,North West,28.798,77.051,43.1,11.97776115,22.52934514,18.15888766
Begum Pur,North West,28.7952,77.0531,25,11.78374105,22.18205357,17.80888586
Haqiqat Nagar,North West,28.7239,77.1624,4.6,16.05916432,13.77705141,4.528634799
Karala,North West,28.7575,77.0526,28.6,8.1966459,18.11336825,15.73056888
Keshav Puram,North West,28.6889,77.1654,10,16.13386669,9.885228979,3.375041296
Narela,North West,28.864,77.0918,13,20.31236919,29.3663468,21.06527324
Pitam Pura,North West,28.7034,77.132,2.7,12.87985488,11.49755542,6.642984794
Rohini,North West,28.7041,77.101,19.1,9.861305268,11.57539186,9.666453476
"Rani Bagh, Delhi",North West,28.6885,77.1375,12.9,13.41242564,9.840751008,6.096557375
Shalimar Bagh,North West,28.714,77.15,9.5,14.71174557,12.67622164,5.118840184
Shastri Nagar,North West,28.671,77.1882,7.2,18.36101937,7.894839792,1.151222374
Azadpur,North,28.7071,77.1734,6.8,16.93027305,11.90897664,2.711787325
Civil Lines,North,28.676,77.2249,0.8,21.94046761,8.793256079,0
Derawal Nagar,North,28.7031,77.1929,6.3,18.81722461,11.46419694,0.773532914
Gulabi Bagh,North,28.6642,77.1893,5.3,18.46953511,7.138714291,1.043972775
Kamla Nagar,North,28.6812,77.2049,4.3,19.98834482,9.041681905,0
Kashmiri Gate,North,28.6679,77.2315,0.2,22.58608666,8.152033237,0
Daryaganj,North,28.6459,77.2474,2.7,24.14242075,6.888682589,0
Model Town,North,28.702,77.1933,6.1,18.85449088,11.34188252,0.690278278
Narela,North,28.8426,77.0918,29.3,18.20669031,26.98773768,19.04319742
Sadar Bazaar,North,28.6605,77.214,4.1,20.88018977,6.864654947,0
Sarai Rohilla,North,28.6646,77.1852,1.8,18.06943932,7.183192261,1.443994215
Shakti Nagar,North,28.6796,77.193,4.9,18.82776738,8.851116161,0.682872466
Tis Hazari,North,28.6694,77.2244,2,21.89306844,8.075992213,0
Timarpur,North,28.6775,77.2175,5.1,21.21824552,8.785208375,0
Wazirabad,North,28.7177,77.2767,0.1,27.05710243,15.07626656,1.968150202
GTB Nagar,North,28.697,77.208,3.8,20.28769325,10.81412199,0
Urdu Bazaar,North,28.6575,77.226,2.9,22.05167225,6.878879881,0
Mukherjee Nagar,North,28.698,77.2042,4.9,19.9168625,10.90480724,0
Majnu-ka-tilla,North,28.6972,77.23,0.2,22.43346346,11.1975921,0
Babarpur,North East,28.6866,77.2769,6.3,27.01067217,12.20833723,0
Bhajanpura,North East,28.698,77.2741,3.1,26.73463015,13.07789529,0
Dayal Pur,North East,28.7198,77.2693,5,26.35559072,14.9390015,2.201659548
Dilshad Garden,North East,28.678,77.315,8.2,30.72972148,14.18377122,0
Karawal Nagar,North East,28.731,77.2765,6,27.18364349,16.36742459,3.447042726
Naveen Shahdara,North East,28.6796,77.3021,7.4,29.47081673,13.32752113,0
Nand Nagri,North East,28.6892,77.3091,8.9,30.15092449,14.55089764,0
Shahdara,North East,28.675,77.29,4.7,28.29166616,12.1118066,0
Shastri Park,North East,28.6798,77.2662,4.2,25.9686094,10.97606821,0
Seelampur,North East,28.6735,77.2689,3.3,26.23358006,10.58345272,0
Yamuna Vihar,North East,28.7091,77.2793,8.3,27.25889954,14.38901866,1.011873832
Ashok Nagar,Central,28.6686,77.1694,11.1,16.52724752,7.627971968,2.985441647
Chandni Chowk,Central,28.6506,77.2303,2.7,22.47271815,6.35635612,0
Civil Lines,Central,28.676,77.2249,4.4,21.94046761,8.793256079,0
Daryaganj,Central,28.6459,77.2474,5,24.14242075,6.888682589,0
Dariba Kalan,Central,28.6574,77.24,3,23.41772694,7.481900398,0
Karol Bagh,Central,28.6506,77.1887,6.8,18.41338311,5.626463288,1.102656336
Old Delhi,Central,28.6558,77.225,3.9,21.9544545,6.6672165,0
Shastri Nagar,Central,28.671,77.1882,5.2,18.36101937,7.894839792,1.151222374
South Patel Nagar,Central,28.6473,77.1718,8.5,16.7648056,5.25952003,2.751848414
"Sadar Bazaar, Delhi",Central,28.6605,77.214,3,20.88018977,6.864654947,0
Paharganj,Central,28.644,77.2167,5.5,21.14695861,5.156967813,0
Rajender Nagar,Central,28.6453,77.1887,6.4,18.41431364,5.037130177,1.10271206
Inderpuri,Central,28.6387,77.1481,14.6,14.45326731,4.303243661,5.064987276
Barakhamba Road,New D,28.6299,77.2223,3.9,21.69635727,3.973937632,0
Chanakyapuri,New D,28.5954,77.1855,9.4,18.1106462,0,1.505199724
Connaught Place,New D,28.6315,77.2195,4.2,21.42275231,3.986426333,0
Gole Market,New D,28.6328,77.209,5,20.39772132,3.751506042,0
"Golf Links, New Delhi",New D,28.5918,77.229,4.7,22.35838168,2.831411206,0.911798398
INA Colony,New D,28.5731,77.2061,7.6,20.12612254,0.595678615,2.991143527
Inder Puri,New D,28.6315,77.1298,20.6,12.66821642,3.502640189,6.851377685
"Jaffrabad, Delhi",New D,28.6911,77.2744,5.3,26.76565522,12.46299319,0
Laxmibai Nagar,New D,28.5785,77.1886,12,18.41626366,0,2.63710365
Lodhi Colony,New D,28.5911,77.2263,2.9,22.09491478,2.567814158,0.989634847
Mahipalpur,New D,28.5494,77.121,18.9,11.81858038,0,9.548255649
New Delhi,New D,28.6139,77.209,5.1,20.40139373,1.777870651,0
Pragati Maidan,New D,28.6135,77.2467,3.4,24.08154426,4.799683625,0
Raisina Hill,New D,28.6144,77.1993,6.5,19.4544424,1.601206944,0.06832971
Rajendra Place,New D,28.6415,77.1834,8.9,17.89776091,4.614589456,1.619971974
East Vinod Nagar,East,28.6156,77.3179,6,31.03108614,11.63938244,0
"Krishna Nagar, Delhi",East,28.6453,77.2797,1.5,27.29455689,9.26762367,0
Laxmi Nagar,East,28.6344,77.278,1.7,27.13148094,8.520536045,0
Mayur Vihar,East,28.6045,77.291,3.4,28.40830687,8.897970034,0
Pandav Nagar,East,28.6264,77.2987,4,29.15392382,10.07188783,0
Preet Vihar,East,28.6415,77.2975,4.3,29.03262279,10.57655274,0
Anand Vihar,East,28.6471,77.315,7.7,30.73878207,12.38632791,0
Shreshtha Vihar,East,28.6483,77.2854,2,27.84999518,9.91586132,0
Vivek Vihar,East,28.6546,77.3031,5.2,29.57542453,11.75240335,0
Vasundhara Enclave,East,28.592,77.3021,1.7,29.4954301,9.968500898,0.889559413
Geetanjali Enclave,South,28.5533,77.2154,9.7,21.03824542,1.504127311,5.192803074
Green Park,South,28.5583,77.2039,12.3,19.91408811,0.380897268,4.636828441
